Priority,Shop,Company,Category,City,Named owner/director,Public business email,Public phone,Website,Legal/contact source,Useful personalization hook,Potential service angle,Qualification / caveat,Research date,Outreach status
A,Kushel,Gustavo Trading GmbH & Co. KG,Sustainable towels and home textiles,Hamburg,Jim Tichatschek,hello@kushel.de,+49 40 50037691,https://kushel.de/,https://kushel.de/policies/legal-notice,"Hamburg brand built around climate-positive towels, transparent impact, and giftable textile sets.","Improve bundle merchandising, gifting journeys, impact-to-product storytelling, and lifecycle automation.","Local Hamburg lead with named representative and friendly public inbox.",2026-06-15,Not contacted
A,Brooklyn Soap,Brooklyn Soap GmbH,Men's grooming and personal care,Hamburg,Felix Ermer; Xenia Barth,sales@bklynsoap.com,,https://bklynsoap.com/,https://bklynsoap.com/pages/impressum,"Hamburg grooming brand explicitly invites reseller inquiries and sells routines across hair, beard, face, and body.","Build a stronger wholesale funnel, routine builder, subscriptions/replenishment, and cross-sell automation.","Excellent local B2B angle; use the published reseller sales inbox.",2026-06-15,Not contacted
A,Fritzvold,FRITZVOLD,Leather goods and accessories,Hamburg,Martin Eckardt,info@fritzvold.de,,https://fritzvold.de/,https://fritzvold.de/pages/impressum,"Owner-operated Hamburg leather-goods brand with a physical Schanzenviertel address and direct contact route.","Connect local/store storytelling with online gifting, product education, SEO, and retention.","Strong small owner-operated local-business fit.",2026-06-15,Not contacted
A,Airpaq,Airpaq GmbH,Upcycled backpacks and bags,Cologne,Adrian Goosses; Michael Widmann,sales@airpaq.de,+49 221 29297140,https://airpaq.de/,https://airpaq.de/pages/impressum,"Upcycling-led bag brand with a dedicated retailer contact and products combining sustainability, design, and functionality.","Optimize retailer acquisition, comparison and use-case pages, bundles, and post-purchase automation.","Dedicated sales inbox makes this one of the clearest B2B outreach routes.",2026-06-15,Not contacted
A,hejhej,hejhej GmbH,Circular yoga products,Nuremberg,Sophie Zepnik,hello@hejhej-mats.com,+49 176 34330497,https://hejhej-mats.com/,https://hejhej-mats.com/pages/impressum,"Founder-led closed-loop yoga brand whose circular product story is central to its positioning.","Turn circularity education into conversion, build product comparison and return-loop flows, and improve retention.","Named founder/director and public hello inbox; strong specialist-brand fit.",2026-06-15,Not contacted
A,ooohne,ooohne GmbH,Sustainable cleaning and household products,Telgte,Carolin Möllenbeck; Jan Leponiemi,hallo@ooohne.de,+49 160 5727570,https://ooohne.de/,https://ooohne.de/policies/legal-notice,"Concentrated household products naturally support education, bundles, usage guidance, and repeat orders.","Create a product finder, starter bundles, replenishment journeys, and educational SEO-to-cart paths.","Named directors and public company inbox; strong recurring-purchase use case.",2026-06-15,Not contacted
A,truemorrow,truemorrow Solutions UG (haftungsbeschränkt),Sustainable oral care,Berlin,Matthias Vosen; Simon Prinz,hi@truemorrow.de,+49 30 232568771,https://www.truemorrow.de/,https://www.truemorrow.de/policies/legal-notice,"Young oral-care brand promotes product launches, newsletter incentives, and sustainable everyday routines.","Improve routine bundles, subscription/reorder flows, launch automation, and landing-page CRO.","Small company with named directors and approachable public inbox.",2026-06-15,Not contacted
A,POTTBURRI,POTTBURRI GmbH,Sustainable gardening products,Geldern,Alexander Cox; Antonia Cox,info@pottburri.de,+49 2839 9979991,https://pottburri.de/,https://pottburri.de/pages/impressum,"Distinctive compostable plant-pot product with a strong explanatory story and clear garden-season demand.","Build seasonal campaign pages, education-to-cart journeys, bundles, and B2B retailer acquisition.","Named representatives and public inbox; administrative phone is not permanently staffed.",2026-06-15,Not contacted
A,Frau Tonis Parfum,Stefanie Hanssen und Christoph Niedermeier GbR,Perfume and fragrance,Berlin,Stefanie Hanssen; Christoph Niedermeier,post@frau-tonis.com,+49 30 20215310,https://frau-tonis-parfum.com/,https://frau-tonis-parfum.com/impressum/,"Independent Berlin perfumery with a physical store and a product category where guided discovery is important.","Develop a fragrance finder, sampling-to-full-size flow, gifting pages, and store-to-online retention.","Owner names, public inbox, and physical-store angle are all available.",2026-06-15,Not contacted
A,JUNGLÜCK,JUNGLÜCK GmbH,Natural skincare,Oberhaching,Benedikt Klarmann,info@junglueck.de,+49 89 255525663,https://junglueck.de/,https://junglueck.de/policies/legal-notice,"Ingredient-led skincare range creates a strong need for concern-based guidance, routines, and replenishment.","Build a skincare routine finder, improve educational content-to-cart paths, bundles, and lifecycle flows.","Established brand; pitch a sharply scoped opportunity rather than general development.",2026-06-15,Not contacted
